iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
391099000,391099,380511,1377,18,True,True,True,7
391109000,391109,385280,1377,18,True,True,True,6
391119000,391119,390049,1377,18,True,True,True,6
391129000,391129,394818,1377,18,True,True,True,5
391139000,391139,399586,1377,18,True,True,True,6
391149000,391149,404354,1377,18,True,True,True,6
391159000,391159,409123,1377,18,True,True,True,6
391169000,391169,413892,1377,18,True,True,True,6
391179000,391179,418662,1377,18,True,True,True,6
391189000,391189,423432,1377,18,True,True,True,6
391199000,391199,428202,1377,18,True,True,True,6
391209000,391209,432971,1377,18,True,True,True,6
391219000,391219,437742,1377,18,True,True,True,7
391229000,391229,442513,1377,18,True,True,True,7
391239000,391239,447284,1377,18,True,True,True,7
391249000,391249,452054,1377,18,True,True,True,8
391259000,391259,456823,1377,18,True,True,True,8
391269000,391269,461594,1377,18,True,True,True,8
391279000,391279,466363,1377,18,True,True,True,8
391289000,391289,471131,1377,18,True,True,True,9
391299000,391299,475900,1377,18,True,True,True,9
391309000,391309,480668,1377,18,True,True,True,10
391319000,391319,485438,1377,18,True,True,True,10
391329000,391329,490207,1377,18,True,True,True,10
391339000,391339,494976,1377,18,True,True,True,10
391349000,391349,499743,1377,18,True,True,True,11
391359000,391359,-495488,1377,18,True,True,True,11
391369000,391369,-490717,1377,18,True,True,True,11
391379000,391379,-485948,1377,18,True,True,True,12
391389000,391389,-481180,1377,18,True,True,True,12
391399000,391399,-476411,1377,18,True,True,True,12
391409000,391409,-471643,1377,18,True,True,True,12
391419000,391419,-466875,1377,18,True,True,True,13
391429000,391429,-462108,1377,18,True,True,True,13
391439000,391439,-457339,1377,18,True,True,True,12
391449000,391449,-452570,1377,18,True,True,True,12
391459000,391459,-447803,1377,18,True,True,True,12
391469000,391469,-443036,1377,18,True,True,True,11
391479000,391479,-438267,1377,18,True,True,True,11
391489000,391489,-433498,1377,18,True,True,True,12
391499000,391499,-428729,1377,18,True,True,True,12
391509000,391509,-423960,1377,18,True,True,True,12
391519000,391519,-419193,1377,18,True,True,True,11
391529000,391529,-414426,1377,18,True,True,True,11
391539000,391539,-409660,1377,18,True,True,True,11
391549000,391549,-404894,1377,18,True,True,True,11
391559000,391559,-400128,1377,18,True,True,True,11
391569000,391569,-395363,1377,18,True,True,True,10
391579000,391579,-390597,1377,18,True,True,True,10
391589000,391589,-385832,1377,18,True,True,True,10
391599000,391599,-381066,1377,18,True,True,True,10
391609000,391609,-376301,1377,18,True,True,True,10
391619000,391619,-371536,1377,18,True,True,True,10
391629000,391629,-366770,1377,18,True,True,True,10
391639000,391639,-362003,1377,18,True,True,True,11
391649000,391649,-357236,1377,18,True,True,True,11
391659000,391659,-352470,1377,18,True,True,True,11
391669000,391669,-347704,1377,18,True,True,True,11
391679000,391679,-342939,1377,18,True,True,True,11
391689000,391689,-338172,1377,18,True,True,True,11
391699000,391699,-333406,1377,18,True,True,True,11
391709000,391709,-328641,1377,18,True,True,True,11
391719000,391719,-323876,1377,18,True,True,True,12
391729000,391729,-319112,1377,18,True,True,True,12
391739000,391739,-314347,1377,18,True,True,True,12
391749000,391749,-309583,1377,18,True,True,True,12
391759000,391759,-304819,1377,18,True,True,True,12
391769000,391769,-300055,1377,18,True,True,True,12
391779000,391779,-295292,1377,18,True,True,True,12
391789000,391789,-290529,1377,18,True,True,True,13
391799000,391799,-285766,1377,18,True,True,True,13
391809000,391809,-281004,1377,18,True,True,True,13
391819000,391819,-276241,1377,18,True,True,True,13
391829000,391829,-271478,1377,18,True,True,True,13
391839000,391839,-266714,1377,18,True,True,True,14
391849000,391849,-261950,1377,18,True,True,True,14
391859000,391859,-257187,1377,18,True,True,True,14
391869000,391869,-252424,1377,18,True,True,True,14
391879000,391879,-247661,1377,18,True,True,True,14
391889000,391889,-242897,1377,18,True,True,True,14
391899000,391899,-238136,1377,18,True,True,True,14
391909000,391909,-233374,1377,18,True,True,True,14
391919000,391919,-228613,1377,18,True,True,True,14
391929000,391929,-223853,1377,18,True,True,True,14
391939000,391939,-219093,1377,18,True,True,True,13
391949000,391949,-214332,1377,18,True,True,True,12
391959000,391959,-209569,1377,18,True,True,True,12
391969000,391969,-204807,1377,18,True,True,True,12
391979000,391979,-200046,1377,18,True,True,True,12
391989000,391989,-195284,1377,18,True,True,True,12
391999000,391999,-190522,1377,18,True,True,True,12
392009000,392009,-185760,1377,18,True,True,True,12
392019000,392019,-180998,1377,18,True,True,True,12
392029000,392029,-176236,1377,18,True,True,True,12
392039000,392039,-171475,1377,18,True,True,True,12
392049000,392049,-166714,1377,18,True,True,True,12
392059000,392059,-161953,1377,18,True,True,True,12
392069000,392069,-157193,1377,18,True,True,True,12
392079000,392079,-152432,1377,18,True,True,True,12
392089000,392089,-147673,1377,18,True,True,True,12
392099000,392099,-142915,1377,18,True,True,True,12
