iTOW,numSvs,gnssId,svId,cno,elev,azim,prRes,qualityInd,health,diffCorr,smoothed,orbitSource,ephAvail,almAvail,anoAvail,aopAvail,sbasCorrUsed,rtcmCorrUsed,slasCorrUsed,spartnCorrUsed,prCorrUsed,crCorrUsed,doCorrUsed,clasCorrUsed,lppCorrUsed,hasCorrUsed,svUse
384799000,19,2,27,21,42,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,2,29,49,57,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,2,30,19,21,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,2,33,39,40,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384809000,19,0,1,36,15,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384809000,19,0,2,42,22,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384809000,19,0,10,17,57,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384809000,19,0,12,30,9,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384809000,19,0,23,23,16,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384809000,19,0,25,0,38,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384809000,19,0,28,41,74,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384809000,19,0,31,36,48,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
