rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sigma_m,n_sats,sats_used,PWV_mm
225274.992000,1.930230,22.136766,24.066996,3.491947,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.379577
225275.992000,1.930230,22.114379,24.044609,3.478499,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.276040
225276.992000,1.930230,22.001217,23.931446,3.491804,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",101.752677
225277.992000,1.930230,22.107325,24.037555,3.492360,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.243417
225278.992000,1.930230,22.056146,23.986376,3.499063,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.006718
225279.992000,1.930230,22.095399,24.025629,3.503902,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.188259
225280.992000,1.930230,22.074166,24.004396,3.515887,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.090061
225281.992000,1.930230,21.964284,23.894513,3.501575,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",101.581867
225282.992000,1.930230,22.115559,24.045789,3.505597,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.281495
225283.992000,1.930230,22.053554,23.983784,3.502339,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",101.994732
225284.992000,1.930230,21.987588,23.917818,3.501403,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",101.689648
225285.992000,1.930230,22.147329,24.077559,3.519420,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.428427
225286.992000,1.930230,22.018487,23.948717,3.501386,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",101.832550
225287.992000,1.930230,22.092649,24.022879,3.524447,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.175542
225288.992000,1.930230,22.207380,24.137610,3.544743,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.706154
225289.992000,1.930230,22.027522,23.957752,3.521851,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",101.874338
225290.992000,1.930230,22.162215,24.092444,3.516837,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.497272
225291.992000,1.930230,22.031380,23.961609,3.488161,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",101.892177
225292.992000,1.930230,22.132550,24.062780,3.506240,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.360079
225293.992000,1.930230,22.065083,23.995313,3.509796,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.048049
225294.992000,1.930230,22.160549,24.090779,3.522573,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.489569
225295.992000,1.930230,22.110887,24.041117,3.552514,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.259887
225296.992000,1.930230,22.275823,24.206053,3.549902,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.022694
225297.992000,1.930230,22.242967,24.173197,3.540498,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.870743
225298.992000,1.930230,22.116171,24.046401,3.520662,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.284326
225299.992000,1.930230,22.264459,24.194689,3.541403,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.970140
225300.992000,1.930230,22.131844,24.062074,3.530602,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.356812
225301.992000,1.930230,22.197792,24.128022,3.530250,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.661814
