rcvTOW,ZHD_m,ZWD_m,ZTD_m,PWV_mm,clk_residual_m,n_sats,rms_m
225838.992,1.93022954639882,-4.475943802699649,-2.545714256300829,-7.533788488219737,44.044065791278996,15,7.146968678229561
225839.992,1.93022954639882,-4.506505688548337,-2.576276142149517,-7.585229434293782,44.09355880973398,15,6.998856754852412
225840.992,1.93022954639882,-4.759981616887273,-2.8297520704884525,-8.011873314364147,44.60103054053211,15,6.921882359667861
225841.992,1.93022954639882,-4.805657909179103,-2.8754283627802826,-8.088754423739381,44.64128257960421,15,6.917685921152793
225842.992,1.93022954639882,-4.731557342458819,-2.801327796059999,-7.964030338465763,44.29248474334154,15,6.889242289402519
225843.992,1.93022954639882,-5.040404506615897,-3.110174960217077,-8.48387359667256,44.83605916450219,15,6.602501812240122
225844.992,1.93022954639882,-5.152933655989435,-3.222704109590615,-8.673279640963864,45.07503136176775,15,6.534192804317561
225845.992,1.93022954639882,-5.191039830968017,-3.260810284569197,-8.737418932035968,45.211064888927304,15,6.461144135498375
225846.992,1.93022954639882,-5.174916384216611,-3.244686837817791,-8.71028037916743,45.18575146592963,15,6.5085331107716495
225847.992,1.93022954639882,-5.3642698644941325,-3.4340403180953123,-9.028995075508952,45.585670941688996,15,6.455843943290236
225848.992,1.93022954639882,-5.587635071909059,-3.6574055255102387,-9.40495739819862,45.84616708665035,15,6.264613279864552
225849.992,1.93022954639882,-5.592283431507993,-3.662053885109173,-9.412781392327956,45.812448708910246,15,6.199912987157466
225850.992,1.93022954639882,-5.635828799594857,-3.705599253196037,-9.486075787268803,45.80224424670368,15,6.2513799464054
225851.992,1.93022954639882,-5.611029575821936,-3.680800029423116,-9.444334399348666,45.62439196175099,15,6.233048394616547
225852.992,1.93022954639882,-5.833703230375796,-3.9034736839769755,-9.819132718821725,46.14069735834531,15,6.110835010783326
225853.992,1.93022954639882,-6.055532808497435,-4.1253032620986145,-10.192510311496473,46.29610529556533,15,5.971041849148313
225854.992,1.93022954639882,-5.948931023888954,-4.018701477490134,-10.01308104850558,46.32640667321808,15,5.98260249190963
225855.992,1.93022954639882,-6.0206495528165025,-4.090420006417682,-10.13379575169299,46.25677565735077,15,5.861766631185823
225856.992,1.93022954639882,-5.828241608085132,-3.8980120616863116,-9.809939862755126,46.14553451204975,15,5.939601890006468
225857.992,1.93022954639882,-5.787880289599922,-3.857650743201102,-9.742004774653742,45.954180463947985,15,5.877082486996929
225858.992,1.93022954639882,-5.720186903494342,-3.7899573570955214,-9.628065083841886,46.018047808957746,15,5.888607683651245
225859.992,1.93022954639882,-5.707302205698012,-3.7770726592991917,-9.606377906296531,45.93195043999884,15,5.906340122241531
225860.992,1.93022954639882,-5.8992029741728675,-3.9689734277740474,-9.929380129770472,46.139408046876895,15,5.839117659894723
225861.992,1.93022954639882,-6.030457808168508,-4.100228261769688,-10.150304743878257,46.27914447365724,15,5.7600718502987895
225862.992,1.93022954639882,-5.860775351125313,-3.930545804726493,-9.864699785935345,46.14438773877186,15,5.730147587343759
225863.992,1.93022954639882,-6.020639146681554,-4.090409600282734,-10.133778236365915,46.4363640065601,15,5.706969456088771
225864.992,1.93022954639882,-6.15884334981302,-4.2286138034142,-10.366399842103553,46.48094519695331,15,5.674928135502152
225865.992,1.93022954639882,-6.266719363734796,-4.336489817335976,-10.54797385367821,46.62068070248903,15,5.648134294901055
225866.992,1.93022954639882,-6.330342674586972,-4.400113128188152,-10.655062903051762,46.78977153301466,15,5.589731811461298
225867.992,1.93022954639882,-6.430718489104814,-4.500488942705994,-10.824012780271868,46.61340561948638,15,5.564607214491972
225868.992,1.93022954639882,-6.512771450585602,-4.582541904186781,-10.962122122988694,46.736962682252546,15,5.5666196680078235
225869.992,1.93022954639882,-6.589261215086008,-4.659031668687188,-11.090867641847137,47.001296287906165,15,5.584618053625518
225870.992,1.93022954639882,-6.8081622338243255,-4.877932687425505,-11.45931596196135,47.45772103861138,15,5.623948535410752
225871.992,1.93022954639882,-6.778903724764054,-4.848674178365234,-11.410068824718966,47.20849131732264,15,5.650750004579653
225872.992,1.93022954639882,-8.119844076368272,-6.189614529969452,-13.667103637848655,49.10279729051235,15,6.114255111096217
225873.992,1.93022954639882,-9.096290076499644,-7.1660605301008236,-15.310631340479993,50.47347916776298,15,7.185300275524068
